,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,github_release_downloads,new_addition,docs_url
20,thumbor-padding,arcivr/thumbor-padding,thumbor-padding,[],filters,https://github.com/arcivr/thumbor-padding,https://github.com/arcivr/thumbor-padding,MIT,2018-08-08 14:41:30,2018-08-08 18:28:11,2018-08-08 18:28:07,4,,,3,,1.0,,2.0,2018-08-08 14:54:56,1.0.0,1,Padding filter for thumbor.,,,,7,https://pypi.org/project/thumbor-padding,2018-08-08 14:54:56,,11,11,False,2,,True,
21,thumbor-distributed-collage-filter,globocom/thumbor-distributed-collage-filter,thumbor-distributed-collage-filter,"['python3', 'thumbor7']",filters,https://github.com/globocom/thumbor-distributed-collage-filter,https://github.com/globocom/thumbor-distributed-collage-filter,MIT,2018-01-15 13:58:39,2022-01-10 17:45:22,2022-01-08 01:46:52,17,5.0,1.0,13,1.0,,1.0,2.0,2018-06-01 19:03:03,0.2.2,4,Distributed collage is a filter for creating side-by-side images.,,,3.0,7,https://pypi.org/project/thumbor-distributed-collage-filter,2018-06-01 19:03:03,,23,23,True,2,,True,
22,thumbor-expire,HonQii/thumbor-expire,thumbor-expire,"['python3', 'thumbor7']",url-signers,https://github.com/HonQii/thumbor-expire,https://github.com/HonQii/thumbor-expire,MIT,2021-04-21 10:23:54,2021-05-09 05:30:13,2021-05-09 05:28:44,9,,,2,,,,1.0,2021-05-09 05:30:13,0.1.3,4,Add timeout verification for thumbor.,,,,7,https://pypi.org/project/thumbor-expire,2021-05-09 05:30:13,,15,15,True,1,,,
23,thumbor-multidir,benneic/thumbor_multidir,thumbor-multidir,[],loaders,https://github.com/benneic/thumbor_multidir,https://github.com/benneic/thumbor_multidir,MIT,2020-02-13 05:05:54,2020-02-17 23:58:13,2020-02-17 23:57:53,11,,,1,,,,,2020-02-17 23:58:13,0.2.8,9,Thumbor file loader plugin that search multiple paths on disk.,,,,7,https://pypi.org/project/thumbor-multidir,2020-02-17 23:58:13,,47,47,False,3,,,
24,remotecv-multidir,benneic/remotecv_multidir,remotecv-multidir,[],detectors,https://github.com/benneic/remotecv_multidir,https://github.com/benneic/remotecv_multidir,MIT,2020-03-02 23:44:27,2020-03-03 01:11:42,2020-03-03 01:11:34,2,,,1,,1.0,,,2020-03-03 01:02:50,0.1.1,2,RemoteCV image loader from multiple local directories.,,,,7,https://pypi.org/project/remotecv-multidir,2020-03-03 01:02:50,,17,17,False,3,,True,
25,remotecv-redis,benneic/remotecv_redis,remotecv-redis,[],detectors,https://github.com/benneic/remotecv_redis,https://github.com/benneic/remotecv_redis,MIT,2020-01-20 01:00:05,2020-03-02 01:15:14,2020-03-02 01:15:02,15,,,1,,1.0,,,2020-03-02 01:15:14,0.2.3,5,Adds loading images directly from Redis storage i.e. from Thumbor.,,,,7,https://pypi.org/project/remotecv-redis,2020-03-02 01:15:14,,32,32,False,3,,True,
26,mg_thumbor,MindGeekOSS/mg_thumbor,mg-thumbor,[],filters,https://github.com/MindGeekOSS/mg_thumbor,https://github.com/MindGeekOSS/mg_thumbor,MIT,2017-08-18 21:27:28,2017-08-21 20:31:57,2017-08-21 20:31:18,6,,,7,,,,,2017-08-21 20:31:57,0.2.0,4,A filter for clipping images differently than what thumbor does.,,,2.0,7,https://pypi.org/project/mg-thumbor,2017-08-21 20:31:57,,29,29,False,2,,,
27,thumbor-focus-filter,sport1online/thumbor-focus-filter,thumbor-focus-filter,[],filters,https://github.com/sport1online/thumbor-focus-filter,https://github.com/sport1online/thumbor-focus-filter,MIT,2018-05-04 16:38:20,2018-06-12 20:07:11,2018-06-08 13:51:00,13,,,15,,1.0,,,2018-06-12 20:07:11,0.2.1,3,A Focus filter for Thumbor.,,,,7,https://pypi.org/project/thumbor-focus-filter,2018-06-12 20:07:11,,16,16,False,2,,True,
28,thumbor-aliases,dgarana/thumbor-aliases,thumbor-aliases,['tc'],url-and-framework,https://github.com/dgarana/thumbor-aliases,https://github.com/dgarana/thumbor-aliases,MIT,2019-02-18 23:37:13,2019-06-16 14:42:58,2019-06-16 14:42:20,19,,1.0,2,1.0,2.0,1.0,,2019-02-18 23:45:57,0.0.3,3,Thumbor URL Aliases.,,,4.0,7,https://pypi.org/project/thumbor-aliases,2019-02-18 23:45:57,,13,13,False,3,,,
29,thumbor-wand-engine,scorphus/thumbor-wand-engine,thumbor-wand-engine,[],engines,https://github.com/scorphus/thumbor-wand-engine,https://github.com/scorphus/thumbor-wand-engine,MIT,2020-11-16 09:23:39,2022-01-07 23:14:36,2022-01-07 21:15:10,90,4.0,,1,4.0,3.0,2.0,13.0,2021-03-18 14:14:35,0.1.0,1,ImageMagick engine for Thumbor.,,,2.0,6,https://pypi.org/project/thumbor-wand-engine,2021-03-18 14:14:35,,25,25,True,3,,,
30,thumbor-request-modifier-http-loader,dffrntmedia/thumbor-request-modifier-http-loader,thumbor-request-modifier-http-loader,[],loaders,https://github.com/dffrntmedia/thumbor-request-modifier-http-loader,https://github.com/dffrntmedia/thumbor-request-modifier-http-loader,GPL-3.0,2020-12-01 18:32:39,2020-12-02 14:19:38,2020-12-02 14:18:51,18,,,3,,1.0,,1.0,,,10,Custom HTTP loader for Thumbor which allows modifying client request when certain conditions are met.,,,,6,https://pypi.org/project/thumbor-request-modifier-http-loader,2020-12-02 14:19:38,,41,41,False,3,,,
31,thumbor_arcface,lanrenwo/thumbor_arcface,thumbor-arcface,"['python3', 'thumbor7']",detectors,https://github.com/lanrenwo/thumbor_arcface,https://github.com/lanrenwo/thumbor_arcface,MIT,2021-03-29 05:54:25,2021-04-06 06:07:47,2021-03-31 09:26:02,15,,,1,,,,1.0,2021-04-06 06:07:47,0.1.4,5,"Thumbor ArcFace can recognize side faces, higher recognition rate.",,,,6,https://pypi.org/project/thumbor-arcface,2021-03-31 09:29:29,,22,22,True,3,,,
32,thumbor-cassandra,glborges/thumbor-cassandra,thumbor-cassandra,[],loaders,https://github.com/glborges/thumbor-cassandra,https://github.com/glborges/thumbor-cassandra,MIT,2019-02-06 13:51:23,2019-02-07 15:38:15,2019-02-07 14:59:18,8,,,1,,1.0,,,,,3,Thumbor plugin for Apache Cassandra.,,,2.0,6,https://pypi.org/project/thumbor-cassandra,2019-02-07 15:38:15,,10,10,False,3,,,
33,thumbor_head,torsdag/thumbor_head,thumbor_head,[],storage-and-result-storage,https://github.com/torsdag/thumbor_head,https://github.com/torsdag/thumbor_head,,2017-02-23 13:52:14,2017-02-27 13:01:38,2017-02-27 13:00:30,3,,,1,,1.0,,,2017-02-27 13:01:38,0.1.1,2,Allow checking of http status code for all requests even if cached.,,,,5,https://pypi.org/project/thumbor_head,2017-02-27 13:01:38,,5,5,False,3,,,
